"Category","Values"
1689770840000,76.59872436523438
1689770847000,76.59817504882812
1689770860000,76.59872436523438
1689770863000,76.59789276123047
1689770866000,76.59872436523438
1689770873000,76.59789276123047
1689770880000,76.5989990234375
1689770887000,76.59817504882812
1689770890000,76.59872436523438
1689770907000,76.59817504882812
1689770917000,76.59872436523438
1689770920000,76.59789276123047
1689770927000,76.59844970703125
1689770933000,76.59928131103516
1689770943000,76.59872436523438
1689770946000,76.59928131103516
1689770950000,76.59872436523438
1689770956000,76.59817504882812
1689770960000,76.59872436523438
1689770963000,76.59761810302734
1689770973000,76.59817504882812
1689770976000,76.59761810302734
1689770980000,76.59817504882812
1689770983000,76.59872436523438
1689770986000,76.59817504882812
1689770989000,76.5989990234375
1689770996000,76.59844970703125
1689771006000,76.59761810302734
1689771009000,76.59872436523438
1689771013000,76.59817504882812
1689771016000,76.59872436523438
1689771026000,76.5998306274414
1689771029000,76.5989990234375
1689771039000,76.5998306274414
