"Category","Values"
1689771268000,76.59928131103516
1689771271000,76.60010528564453
1689771274000,76.5989990234375
1689771288000,76.59955596923828
1689771294000,76.60010528564453
1689771298000,76.59928131103516
1689771324000,76.60010528564453
1689771327000,76.59955596923828
1689771347000,76.60010528564453
1689771351000,76.59955596923828
1689771384000,76.60010528564453
1689771387000,76.59955596923828
1689771414000,76.60010528564453
1689771417000,76.59928131103516
1689771421000,76.60010528564453
1689771431000,76.60066223144531
1689771434000,76.60010528564453
1689771437000,76.59955596923828
1689771447000,76.60010528564453
1689771460000,76.59955596923828
1689771464000,76.60010528564453
1689771467000,76.59955596923828
1689771470000,76.60010528564453
1689771477000,76.59955596923828
1689771484000,76.60010528564453
1689771487000,76.59955596923828
1689771490000,76.60038757324219
1689771494000,76.5998306274414
1689771500000,76.60038757324219
1689771503000,76.59955596923828
1689771513000,76.60038757324219
1689771517000,76.5998306274414
1689771527000,76.60038757324219
1689771530000,76.5998306274414
1689771550000,76.60066223144531
1689771553000,76.60010528564453
1689771573000,76.59955596923828
1689771576000,76.60010528564453
1689771593000,76.60066223144531
