"Category","Values"
1689755904000,76.60038757324219
1689755927000,76.60093688964844
1689755931000,76.60010528564453
1689755937000,76.60066223144531
1689755950000,76.60149383544922
1689755954000,76.60093688964844
1689755957000,76.60038757324219
1689755960000,76.60149383544922
1689755964000,76.60066223144531
1689755970000,76.60010528564453
1689755974000,76.60093688964844
1689756007000,76.60038757324219
1689756013000,76.5998306274414
1689756020000,76.60038757324219
1689756023000,76.59955596923828
1689756033000,76.60093688964844
1689756050000,76.60038757324219
1689756053000,76.60121154785156
1689756060000,76.60010528564453
