"Category","Values"
1689771811000,76.5998306274414
1689771821000,76.5989990234375
1689771825000,76.59955596923828
1689771845000,76.60038757324219
1689771851000,76.59928131103516
1689771855000,76.5998306274414
1689771858000,76.60038757324219
1689771861000,76.59928131103516
1689771864000,76.60010528564453
1689771868000,76.60066223144531
1689771871000,76.60010528564453
1689771874000,76.59928131103516
1689771878000,76.5998306274414
1689771881000,76.5989990234375
1689771884000,76.5998306274414
1689771901000,76.59928131103516
1689771908000,76.5998306274414
1689771914000,76.59928131103516
1689771927000,76.5998306274414
1689771948000,76.60038757324219
