"Category","Values"
1692949395000,76.60149383544922
1692949428000,76.60066223144531
1692949432000,76.60149383544922
1692949436000,76.6023178100586
1692949442000,76.60176849365234
1692949462000,76.60093688964844
1692949465000,76.60176849365234
1692949475000,76.60121154785156
1692949495000,76.60176849365234
1692949502000,76.6023178100586
1692949505000,76.60149383544922
1692949522000,76.60093688964844
1692949532000,76.60038757324219
1692949535000,76.60121154785156
1692949548000,76.60176849365234
1692949555000,76.60121154785156
1692949561000,76.60176849365234
