"Category","Values"
1692949405000,76.59568786621094
1692949409000,76.59651184082031
1692949419000,76.59568786621094
1692949436000,76.59678649902344
1692949439000,76.59568786621094
1692949455000,76.59485626220703
1692949459000,76.59568786621094
1692949462000,76.59485626220703
1692949465000,76.59540557861328
1692949482000,76.59485626220703
1692949505000,76.59540557861328
1692949528000,76.59485626220703
1692949532000,76.59568786621094
1692949548000,76.59623718261719
1692949551000,76.59540557861328
1692949555000,76.59596252441406
1692949558000,76.59513092041016
1692949571000,76.59596252441406
