"Category","Values"
1692949220000,76.5945816040039
1692949226000,76.59513092041016
1692949230000,76.5945816040039
1692949236000,76.59513092041016
1692949246000,76.59347534179688
1692949250000,76.59402465820312
1692949269000,76.5945816040039
1692949279000,76.59513092041016
1692949289000,76.5945816040039
1692949293000,76.59402465820312
1692949299000,76.59513092041016
1692949332000,76.5945816040039
1692949336000,76.59568786621094
1692949339000,76.5945816040039
1692949352000,76.59540557861328
1692949356000,76.59402465820312
1692949359000,76.59485626220703
