"Category","Values"
1689785266000,76.6064682006836
1689785273000,76.60563659667969
1689785283000,76.60481262207031
1689785289000,76.60370635986328
1689785293000,76.60481262207031
1689785299000,76.6039810180664
1689785303000,76.60453033447266
1689785306000,76.6031494140625
1689785316000,76.60370635986328
1689785326000,76.60425567626953
1689785329000,76.60481262207031
1689785332000,76.6039810180664
1689785339000,76.60481262207031
1689785342000,76.60425567626953
1689785349000,76.60342407226562
1689785352000,76.60453033447266
1689785362000,76.6039810180664
1689785389000,76.60453033447266
1689785392000,76.6039810180664
1689785412000,76.60481262207031
