"Category","Values"
1689779713000,76.6064682006836
1689779719000,76.60536193847656
1689779723000,76.60481262207031
1689779732000,76.60425567626953
1689779739000,76.60481262207031
1689779749000,76.60536193847656
1689779752000,76.60481262207031
1689779756000,76.60536193847656
1689779759000,76.60481262207031
1689779769000,76.60425567626953
1689779776000,76.60508728027344
1689779779000,76.6039810180664
1689779786000,76.60508728027344
1689779789000,76.60425567626953
1689779793000,76.60481262207031
1689779806000,76.60425567626953
1689779816000,76.60481262207031
1689779819000,76.60425567626953
