"Category","Values"
1692793171000,76.58738708496094
1692793175000,76.58849334716797
1692793202000,76.58905029296875
1692793208000,76.58821868896484
1692793212000,76.58905029296875
1692793215000,76.58849334716797
1692793222000,76.58794403076172
1692793225000,76.58849334716797
1692793228000,76.58905029296875
1692793258000,76.58849334716797
1692793271000,76.58987426757812
1692793275000,76.58849334716797
1692793278000,76.58932495117188
1692793285000,76.5887680053711
1692793304000,76.58932495117188
1692793311000,76.5887680053711
1692793321000,76.58932495117188
1692793324000,76.58821868896484
