"Category","Values"
1692792840000,76.58766174316406
1692792844000,76.58711242675781
1692792847000,76.58766174316406
1692792854000,76.58683776855469
1692792857000,76.5862808227539
1692792860000,76.58683776855469
1692792863000,76.5862808227539
1692792870000,76.58683776855469
1692792877000,76.5862808227539
1692792880000,76.58573150634766
1692792883000,76.58655548095703
1692792887000,76.58600616455078
1692792900000,76.58683776855469
1692792920000,76.58794403076172
1692792923000,76.58738708496094
1692792926000,76.58655548095703
1692792950000,76.58711242675781
1692792963000,76.58766174316406
1692792966000,76.58711242675781
1692792973000,76.58766174316406
1692792976000,76.58683776855469
1692792986000,76.58738708496094
1692792996000,76.58794403076172
1692792999000,76.58738708496094
1692793013000,76.58821868896484
1692793016000,76.58766174316406
1692793046000,76.58821868896484
1692793059000,76.58766174316406
1692793079000,76.58711242675781
1692793082000,76.58794403076172
1692793089000,76.58738708496094
1692793099000,76.58794403076172
1692793109000,76.58738708496094
1692793112000,76.58794403076172
1692793115000,76.58849334716797
1692793118000,76.58766174316406
1692793145000,76.58683776855469
