Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
55040,36.0,1,,,0,Descartado
55041,36.0,1,0.4762334876482069,0.0002040729024019968,4,Calculado
55042,36.0,1,0.482296029480101,0.0002226788607077534,4,Calculado
55050,36.0,1,0.4960740198249609,0.0002008407468646706,4,Calculado
55051,36.0,1,0.5211705143120803,0.00022159888696941988,4,Calculado
55052,36.0,1,0.4881860459609773,0.00022280462649247682,4,Calculado
55053,36.0,1,0.45820199909460974,0.00022272731428972067,4,Calculado
55007,37.0,1,0.4672853223073623,0.0002251036403081172,4,Calculado
55008,37.0,1,0.47374636259612896,0.00022936518126172306,4,Calculado
55014,37.0,1,0.437912411963366,0.00020679188046728608,4,Calculado
55015,37.0,1,,,0,Descartado
55057,37.0,1,0.6416037751890395,0.00022784759503720803,4,Calculado
55058,37.0,1,0.45792628638743654,0.00022691640311480574,4,Calculado
55062,37.0,1,0.3905299550343778,0.00022249424664886713,4,Calculado
55063,37.0,1,0.44878906842517274,0.00021081441292879075,4,Calculado
55065,37.0,1,0.4983535838200311,0.00022744348834772302,4,Calculado
55080,37.0,1,0.47366751576258925,0.00022661649168997773,4,Calculado
55083,37.0,1,,,0,Descartado
55084,37.0,1,0.4636751278911218,0.00021038226891684518,4,Calculado
55216,38.0,1,0.5282164858506201,0.0003021416687918171,3,Calculado
55217,38.0,1,0.4684064086905585,0.0002480551186558054,3,Calculado
55218,38.0,1,0.43217420677548307,0.0002809701486527802,3,Calculado
55219,38.0,1,0.4119942509454068,0.0003197486431324134,3,Calculado
55220,38.0,1,0.4785964992267845,0.0002908283272243261,3,Calculado
55221,38.0,1,0.4674471012543175,0.0002625071153993692,3,Calculado
55222,38.0,1,0.4233373181252935,0.00028789163400276947,3,Calculado
55223,38.0,1,0.4866897966717009,0.000289926724866739,3,Calculado
