Sensor,Set,Constante_Calibracion_K_old,Error_K_old,N_Paths_old,Constante_Calibracion_K_new,Error_K_new,N_Paths_new,Diff_K,Diff_mK,Abs_Diff_mK,Error_old_mK,Error_new_mK,Error_improvement_%
48956,14.0,0.4372037040756068,0.0023289065939575,4,0.0316747945793611,0.0003370680273704,2,-0.4055289094962457,-405.5289094962457,405.5289094962457,2.3289065939575,0.3370680273704,85.52676916090387
48912,14.0,-0.0626912723890154,0.0017224675813411,4,-0.3487401004073856,0.0002267812616703,3,-0.2860488280183702,-286.0488280183702,286.0488280183702,1.7224675813411,0.2267812616703,86.83393149880186
48857,9.0,0.0445504878990335,0.1074816073266433,4,0.32845324005904,0.0002834290112448,2,0.2839027521600065,283.9027521600065,283.9027521600065,107.4816073266433,0.28342901124479997,99.73629998816128
48913,14.0,-0.0622095836374496,0.0021227360356203,4,-0.3446096961746077,0.0002669543678719,3,-0.2824001125371581,-282.40011253715807,282.40011253715807,2.1227360356203,0.2669543678719,87.42404315033492
48962,14.0,0.3862003236697152,0.0023369102549786,4,0.1043205819043079,0.0002765150232387,3,-0.2818797417654073,-281.8797417654073,281.8797417654073,2.3369102549786,0.2765150232387,88.16749497976627
48914,14.0,-0.0280062879430141,0.0019187652880608,4,-0.3087203555062318,0.0002860738063323,3,-0.2807140675632177,-280.7140675632177,280.7140675632177,1.9187652880608002,0.2860738063323,85.09073474945858
48958,14.0,0.3980664093826657,0.0017529927831282,4,0.1175141288529406,0.0002847970699658,3,-0.2805522805297251,-280.55228052972507,280.55228052972507,1.7529927831282,0.2847970699658,83.75366557655862
48915,14.0,-0.0330158983669496,0.0017364210971546,4,-0.3128056892661883,0.0003004115561099,3,-0.2797897908992387,-279.7897908992387,279.7897908992387,1.7364210971546001,0.3004115561099,82.69938342708623
48959,14.0,0.4498164001315145,0.0019392812887835,4,0.1704920035218177,0.0003034414233723,3,-0.2793243966096968,-279.3243966096968,279.3243966096968,1.9392812887835,0.3034414233723,84.35289273777055
48863,9.0,0.2135129514970988,0.1074796939466544,4,0.0912919628566172,0.0002540906736309,2,-0.12222098864048161,-122.22098864048162,122.22098864048162,107.4796939466544,0.2540906736309,99.76359192671593
55099,27.0,0.4614314529941184,0.0802299340739961,4,0.3909285869336589,0.0002610279619836,3,-0.07050286606045952,-70.50286606045952,70.50286606045952,80.2299340739961,0.26102796198359995,99.67465016019725
49260,25.0,0.0465264067759516,31.381902803789767,4,-0.0147673220302371,0.0002296820523554,4,-0.061293728806188705,-61.2937288061887,61.2937288061887,31381.902803789766,0.2296820523554,99.99926810667348
48861,9.0,0.1119715645860812,0.1074806643745103,4,0.1711223828511836,0.000193498452376,4,0.05915081826510242,59.15081826510242,59.15081826510242,107.4806643745103,0.193498452376,99.81996905815379
48860,9.0,0.1383677626528467,0.1074775926433812,4,0.1973264088328419,0.0001921978732143,4,0.05895864617999519,58.95864617999519,58.95864617999519,107.4775926433812,0.1921978732143,99.82117400614653
48859,9.0,9.188822916400687e-05,0.107478514985894,4,0.0588026326134168,0.0001922306434984,4,0.05871074438425279,58.71074438425279,58.71074438425279,107.47851498589401,0.1922306434984,99.82114505068886
48862,9.0,0.105248890365593,0.1074788454624972,4,0.1636178658681573,0.0001895169099656,4,0.0583689755025643,58.3689755025643,58.3689755025643,107.47884546249719,0.1895169099656,99.82367050078544
48858,9.0,0.1127777622564342,0.1074775315031179,4,0.1708526167894571,0.0001886345050175,4,0.0580748545330229,58.0748545330229,58.0748545330229,107.4775315031179,0.1886345050175,99.82448935849256
48856,9.0,0.0646198614771135,0.1074781413424587,4,0.1213366530667078,0.0001829323916869,4,0.05671679158959429,56.716791589594294,56.716791589594294,107.4781413424587,0.1829323916869,99.82979572459853
48855,9.0,0.2548692900644697,0.1074786782539894,4,0.3115721292279694,0.0001825251652793,4,0.05670283916349972,56.70283916349972,56.70283916349972,107.47867825398939,0.1825251652793,99.83017546526953
48854,9.0,0.0541283679289265,0.1074793906875345,4,0.1100931434358777,0.0001798144058622,4,0.0559647755069512,55.9647755069512,55.9647755069512,107.47939068753449,0.17981440586220002,99.83269871115574
48853,9.0,0.0786640655823732,0.1074790426317709,4,0.1343750425045201,0.0001788969728412,4,0.055710976922146896,55.7109769221469,55.7109769221469,107.4790426317709,0.17889697284119999,99.83355176184988
48852,9.0,0.0373284425967853,0.1074799168438835,4,0.0881593869641774,0.0001635119907021,4,0.0508309443673921,50.8309443673921,50.8309443673921,107.4799168438835,0.1635119907021,99.84786740118193
48869,10.0,-0.0758066002312277,0.0045852343920833,4,-0.0373350431146755,0.0003111036897957,2,0.03847155711655221,38.47155711655221,38.47155711655221,4.585234392083301,0.3111036897957,93.21509734959591
48884,11.0,0.3594744007917631,0.0336695418956275,4,0.3925473418282055,0.0003017320586175,2,0.03307294103644237,33.07294103644237,33.07294103644237,33.6695418956275,0.30173205861749997,99.10384269690144
48877,11.0,0.4484641809029779,0.0336665728672045,4,0.4765651030896614,0.0002030627453962,4,0.028100922186683475,28.100922186683476,28.100922186683476,33.6665728672045,0.2030627453962,99.39684165003321
48876,11.0,-0.1108279580940867,0.0336716659106538,4,-0.0827286715574989,0.0001899215683127,4,0.028099286536587803,28.099286536587805,28.099286536587805,33.6716659106538,0.1899215683127,99.43596028537274
48879,11.0,-0.0283193631958817,0.0336491330085101,4,-0.0005218161257679,0.0002102983121919,4,0.0277975470701138,27.7975470701138,27.7975470701138,33.6491330085101,0.2102983121919,99.37502606043753
