Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
48202,3.0,1,2,48202,48203,3.0,-0.027064102548500488,0.00025112741028735403,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.11291622503247747,0.000384930333800919
48202,3.0,1,3,48202,48479,3.0,-0.03433261247015801,0.0002455486309853325,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.11170730059777946,0.0004329916931040346
48202,3.0,1,4,48202,48479,3.0,-0.03433261247015801,0.0002455486309853325,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.11419970338165131,0.0004517661151308797
48203,3.0,1,0,48203,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.08484759766817808,0.0001658205367684245
48203,3.0,1,1,48203,48479,3.0,-0.0072685099216575205,0.0002539205529311983,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.08464319804927897,0.00043779369949693543
48203,3.0,1,2,48203,48479,3.0,-0.0072685099216575205,0.0002539205529311983,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.0871356008331508,0.00045637061671689787
48203,3.0,1,3,48203,48203,3.0,0.0,0.0,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.08335971970010515,0.0002617165818191602
48203,3.0,1,4,48203,48203,3.0,0.0,0.0,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.085852122483977,0.00029172998762974964
48204,3.0,1,0,48204,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.05306294827673689,0.00020340428406602677
48204,3.0,1,1,48204,48203,3.0,0.03201491708474384,0.0002564478771829953,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.05134480261536131,0.0003664165428999758
48204,3.0,1,2,48204,48203,3.0,0.03201491708474384,0.0002564478771829953,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.05383720539923315,0.000388422320926744
48204,3.0,1,3,48204,48479,3.0,0.02474640716308632,0.0002509873855252542,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.05262828096453513,0.0004360990068907863
48204,3.0,1,4,48204,48479,3.0,0.02474640716308632,0.0002509873855252542,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.05512068374840697,0.0004547451597262788
48476,3.0,1,0,48476,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.0954822423616032,0.00020550639878338004
48476,3.0,1,1,48476,48203,3.0,-0.01040096648980747,0.0002628790653032127,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.09376068618991262,0.00037094605021996917
48476,3.0,1,2,48476,48203,3.0,-0.01040096648980747,0.0002628790653032127,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.09625308897378446,0.00039269808843072387
